title,price,location,mileage,msrp,make,model,trim,year,vin,sellerType,url
2017 Buick Cascada Sport Touring,"$12,997","South Jordan, UT","99,749 Miles",N/A,Buick,Cascada,Sport Touring,2017,W04WJ3N51HG074649,Dealership,https://cars.ksl.com/listing/9759810
2024 Ford Bronco Badlands,"$60,684","Bountiful, UT",2 Miles,"MSRP $67,785",Ford,Bronco,Badlands,2024,1FMEE9BP8RLA98269,Dealership,https://cars.ksl.com/listing/9480785
2024 Ford Bronco Badlands,"$63,310","Bountiful, UT",2 Miles,"MSRP $70,670",Ford,Bronco,Badlands,2024,1FMEE9BPXRLB07280,Dealership,https://cars.ksl.com/listing/9520308
2023 Ford Bronco Wildtrak Advanced,"$52,659","American Fork, UT","15,120 Miles",N/A,Ford,Bronco,Wildtrak Advanced,2023,1FMEE5DP3PLB02635,Dealership,https://cars.ksl.com/listing/9817515
2025 Mercedes-Benz SL-Class AMG SL 55,"$166,045","Draper, UT",10 Miles,"MSRP $166,045",Mercedes-Benz,SL-Class,AMG SL 55,2025,W1KVK8AB0SF023993,Dealership,https://cars.ksl.com/listing/9817499
1934 Ford Antique,"$52,000","Coalville, UT","5,000 Miles",N/A,Ford,Antique,N/A,1934,NCS95060,For Sale By Owner,https://cars.ksl.com/listing/9643549
2024 Mazda Miata Club,"$42,274","St. George, UT",8 Miles,"MSRP $42,725",Mazda,Miata,Club,2024,JM1NDAL7XR0605598,Dealership,https://cars.ksl.com/listing/9372685
2007 BMW Z4 3.0si,"$8,642","Bountiful, UT","94,000 Miles",N/A,BMW,Z4,3.0si,2007,4USBU53567LX03591,Dealership,https://cars.ksl.com/listing/9698433
2024 Ford Bronco Wildtrak,"$63,775","Salt Lake City, UT",2 Miles,"MSRP $68,775",Ford,Bronco,Wildtrak,2024,1FMEE2BP6RLA98469,Dealership,https://cars.ksl.com/listing/9573222
2024 Ford Bronco Badlands,"$54,040","Salt Lake City, UT",2 Miles,"MSRP $65,040",Ford,Bronco,Badlands,2024,1FMDE9AP4RLA53777,Dealership,https://cars.ksl.com/listing/9573221
2018 Audi A5 2.0T quattro Premium Plus,"$27,900","Las Vegas, NV","46,129 Miles",N/A,Audi,A5,2.0T quattro Premium Plus,2018,WAUYNGF59JN010222,Dealership,https://cars.ksl.com/listing/9730719
2024 Ford Bronco Badlands,"$63,310","Bountiful, UT",2 Miles,"MSRP $70,670",Ford,Bronco,Badlands,2024,1FMEE9BP3RLA97921,Dealership,https://cars.ksl.com/listing/9546563
2025 Ford Bronco Raptor,"$101,985","Bountiful, UT",2 Miles,"MSRP $103,015",Ford,Bronco,Raptor,2025,1FMEE0RR5SLA40600,Dealership,https://cars.ksl.com/listing/9686252
2011 Mercedes-Benz E-Class E 350,"$11,600","Farmington, UT","95,345 Miles",N/A,Mercedes-Benz,E-Class,E 350,2011,WDDKK5GFXBF114197,Dealership,https://cars.ksl.com/listing/9649979
2024 Ford Bronco Wildtrak,"$63,007","Bountiful, UT",2 Miles,"MSRP $68,825",Ford,Bronco,Wildtrak,2024,1FMEE2BP9RLB31254,Dealership,https://cars.ksl.com/listing/9585018
2023 Mercedes-Benz SL-Class AMG SL 63,"$199,985","Farmington, UT",75 Miles,"MSRP $199,985",Mercedes-Benz,SL-Class,AMG SL 63,2023,W1KVK8BB9PF014845,Dealership,https://cars.ksl.com/listing/8578492
2022 Ford Mustang EcoBoost Premium,"$21,228","Sandy, UT","60,311 Miles",N/A,Ford,Mustang,EcoBoost Premium,2022,1FATP8UH6N5119369,Dealership,https://cars.ksl.com/listing/9803831
2015 Mini Convertible Cooper S,"$13,950","Jackson, WY","94,500 Miles",N/A,Mini,Convertible,Cooper S,2015,WMWZP3C54FT708185,For Sale By Owner,https://cars.ksl.com/listing/9830091
2023 Ford Bronco Outer Banks Advanced,"$43,800","Heber City, UT","14,540 Miles",N/A,Ford,Bronco,Outer Banks Advanced,2023,1FMEE5DP4PLB41198,Dealership,https://cars.ksl.com/listing/9742679
2024 Ford Bronco Outer Banks,"$51,020","Bountiful, UT",2 Miles,"MSRP $56,000",Ford,Bronco,Outer Banks,2024,1FMDE8BH7RLB30918,Dealership,https://cars.ksl.com/listing/9623345
2022 Ford Mustang EcoBoost Premium,"$21,540","Blackfoot, ID","74,431 Miles",N/A,Ford,Mustang,EcoBoost Premium,2022,1FATP8UH0N5100624,Dealership,https://cars.ksl.com/listing/9818361
2025 Chevrolet Corvette E-Ray,"$127,970","Woods Cross, UT",0 Miles,"MSRP $127,970",Chevrolet,Corvette,E-Ray,2025,1G1YL3D43S5501651,Dealership,https://cars.ksl.com/listing/9829692
2017 Mercedes-Benz S-Class AMG S 63,"$68,338","Salt Lake City, UT","36,041 Miles",N/A,Mercedes-Benz,S-Class,AMG S 63,2017,WDDXK7JB6HA020881,Dealership,https://cars.ksl.com/listing/9686390
1987 Porsche 911 Carrera,"$78,499","Salt Lake City, UT","80,944 Miles",N/A,Porsche,911,Carrera,1987,WP0EB0912HS170307,Dealership,https://cars.ksl.com/listing/9754766
